Common code,Original name,English suggestion,Engl. abbr.,Engl. Aliases,German suggestion,German abbr.,German aliases,Dutch name,Dutch abbr.,Dutch aliases,Description
XWU,"Intermediate bulk container, natural wood, with inner liner",Natural wood intermediate bulk container with inner liner,,,Intermediate Bulk Container aus Naturholz mit Innenauskleidung,,,houten Intermediate-Bulk-Container met liner,,,
XWG,"Intermediate bulk container, steel, pressurised > 10 kpa","Steel intermediate bulk container, pressurised > 10 kpa",,,"Intermediate Bulk Container aus Stahl, druckbeaufschlagt > 10 kPa",,,stalen Intermediate-Bulk-Container onder druk > 10 kPa,,,
XEI,"Case, isothermic ",Isothermic case,,,Isotherme Box,,,isolatie box,,,
XJB,"Bag, jumbo",Jumbo bag,,,Jumbo-Sack,,,jumbo zak,,,"A flexible containment bag, widely used for storage, transportation and handling of powder, flake or granular materials. Typically constructed from woven polypropylene (PP) fabric in the form of cubic bags. "
XJT,Jutebag,Jutebag,,,Jutebeutel,,,juten tas,,,
XGY,"Bag, gunny",Gunny bag,,,Jutesack,,,juten zak,,,"A sack made of gunny or burlap, used for transporting coarse commodities, such as grains, potatoes, and other agricultural products. "
XCG,Cage ,Cage ,,,Käfig ,,,kooi ,,,
XJY,"Jerrican, cylindrical",Jerrican,,,Kanister,,,jerrycan,,,
XAV,Capsule,Capsule,,,Kapsel,,,capsule,,,
XCM,Card,Card,,,Karte,,,kaart,,,A flat package usually made of fibreboard from/to which product is often hung or attached.
XBD,Board,Board,,,Karton,,,karton,,,
XCT,Carton ,Carton ,,,Karton ,,,karton,,,
XEF,"Case, with pallet base, cardboard",Cardboard case with pallet base,,,Karton mit Palettenboden,,,kartonnen kist met palletbodem,,,
XBY,"Board, in bundle/bunch/truss ",Board,,,Kartonbündel,,,bundel karton,,,
XIK,"Package, cardboard, with bottle grip-holes ",Cardboard package with bottle grip-holes,,,Kartonverpackung mit Flaschengrifflöchern,,,kartonnen verpakking met flesgaten,,,Packaging material made out of cardboard that facilitates the separation of individual glass or plastic bottles.    
